submitted_on,district,community,people_using,photo_water_point,latitude,longitude,depth,currently_submerged,likely_submerged,functional_status,water_pump_possible,problems_reported,water_quality_problems,civil_works_problems,photo_civil_works,pump_problems,photo_pump_problems,pump_operational_feel,time_to_pump_20l,strokes_to_yield,sediment_presence,water_quality_tests,electrical_conductivity,conductivity_units,total_dissolved_solids,ph,temperature_c,turbidity_tube,turbidity_tube_units,turbidity_electronic_ntu,comments,microbiological_test,test_method,sample_type,sample_date,color_change_mpn,color_change_upper95,color_change_health,color_change_image
4/26/2019,Chikwawa,Nota near Savala camp,2500,https://api.mwater.co/v3/images/3cdc9b5f6ee94e998d231a8a8d98cd1b,-16.29742795,35.027419,18,No,Yes,Partially functional but in need of repair,Yes ,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,"Faulty drainage , Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/6b5b5851846b40b2aab63e373631209c,NA,NA,Significant friction (very stiff) on down stroke,58.429,5,Absent,"pH, Microbiological or fecal indicator test, Electrical conductivity (EC), Turbidity (by Turbidity Tube), Temperature, Turbidity (by electronic turbidimeter)",1366,μS / cm,NA,7.4,26.8,5,JTU,0.68,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/25/2019,13.6,83.06,possibly_unsafe,https://api.mwater.co/v3/images/6b410efe1f42412ca6b1cf6ebbe5ce1d
4/26/2019,Chikwawa,Savala camp near hipo house,1500,https://api.mwater.co/v3/images/5da576c3ee4744bfa901d0d9f8f2bd30; https://api.mwater.co/v3/images/ee2488054f484216912f229814e0975c; https://api.mwater.co/v3/images/6a9ef6a1546443939b2708f0c6e79c7b; https://api.mwater.co/v3/images/f8991d0443d248a8842f763166dcfd20,-16.28658571,35.04313,10,No,Yes,Partially functional but in need of repair,Yes ,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,"Platform cracked or damaged , Faulty drainage , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/4e4f10e33c04411c9176bdb1e7421f8a,NA,https://api.mwater.co/v3/images/a2df7478f85e49799986eb8165e658f1,Significant friction (very stiff) on down stroke,63.062,1,Absent,"pH, Microbiological or fecal indicator test, Electrical conductivity (EC), Turbidity (by Turbidity Tube), Temperature, Turbidity (by electronic turbidimeter)",1775,μS / cm,NA,7.2,29.8,5,JTU,0.91,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/2f56c7512d2f4dd5bcc203120e0df22b
4/27/2019,Chikwawa,Halineki,3575,https://api.mwater.co/v3/images/fe897b2eb2e64726a8f6c291868ec99a,-16.3062527,35.059668,NA,No,No,Partially functional but in need of repair,Yes ,NA,NA,NA,NA,NA,NA,"Significant friction (very stiff) at all times, Significant sideways movement on handle (loose/wobbly)",64.721,3,Absent,"Electrical conductivity (EC), Temperature, pH, Turbidity (by Turbidity Tube)",840,μS / cm,NA,7.4,39.4,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/496293fc03454eceb6866c29d1caf6bd
4/27/2019,Chikwawa,Matabwa village ,1600,https://api.mwater.co/v3/images/00c97105d3fe46ba8eb5df95ec732272,-16.1557506,34.972774,21,No,No,Partially functional but in need of repair,Yes ,Damage or problem with pump,NA,NA,NA,Pump loose at the point of attachment,NA,"Significant friction (very stiff) on down stroke, Significant sideways movement on handle (loose/wobbly)",61.56,4,Present,"Electrical conductivity (EC), Temperature, pH, Turbidity (by Turbidity Tube)",1103,μS / cm,NA,7.2,29.6,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/d995d2d86ca847f1aa6142aa649fe3d2
4/27/2019,Chikwawa,Makhuwila HC,82266,https://api.mwater.co/v3/images/dea4dbff7e4347ada93aa8c38264b31a; https://api.mwater.co/v3/images/03a198515a4c44f7afa07e6bf7dae321,-16.19479081,35.010943,21,No,No,Partially functional but in need of repair,Yes ,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,"Very light, Normal/satisfactory ",52.861,3,Absent,"Electrical conductivity (EC), Total dissolved solids (TDS), pH, Temperature, Turbidity (by Turbidity Tube), Turbidity (by electronic turbidimeter)",565,μS / cm,0.41,7.2,27.1,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/3bd12c52d599413799ed38ec4345250e
4/27/2019,Nsanje,Nyamjidu(Mulembwe),900,https://api.mwater.co/v3/images/c254b46a3c0244cfaa95e25de57df3a7; https://api.mwater.co/v3/images/5b49a039128e487385311ace71a070ec; https://api.mwater.co/v3/images/1fff9568b40443efa05fb31f8d3e77c2,-16.3378403,35.097167,27,No,NA,Partially functional but in need of repair,Yes ,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,Significant sideways movement on handle (loose/wobbly),50.86,1,Absent,"Electrical conductivity (EC), pH, Temperature, Turbidity (by Turbidity Tube)",273,mS / cm,NA,6.8,29.1,5,JTU,NA,According to the community members the water does not taste salty. ,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/26/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/c5eafd616bec469281a464dddc27b885
4/27/2019,Nsanje,"HVH Nguluwr, Namanya ",1075,https://api.mwater.co/v3/images/4d1f9482b6834328ada302688d3d5f5c; https://api.mwater.co/v3/images/4378e521419b4e6d9bafac91b51823d3; https://api.mwater.co/v3/images/1e75472efe6745ddb9d48179360f0e22,-16.3376279,35.096673,25,No,No,Partially functional but in need of repair,Yes ,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,Fence/barrier is missing or damaged,https://api.mwater.co/v3/images/82b46247210449a1be5dd05379bf937d,NA,NA,Significant sideways movement on handle (loose/wobbly),39.8,1,Absent,"Electrical conductivity (EC), pH, Temperature, Turbidity (by Turbidity Tube)",258,mS / cm,NA,6.8,28.9,5,JTU,NA,Water not salty according to community members. ,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/65a791b951514d2dbca90c65ee765448
4/27/2019,Chikwawa,Mitondo,1251,https://api.mwater.co/v3/images/85202a2a5fa948aea78b171f25d423b0; https://api.mwater.co/v3/images/72bc853854444e9c9b758581235f227c,-16.27044897,35.056764,18,No,No,Partially functional but in need of repair,Yes ,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke",61.697,4,Absent,"Electrical conductivity (EC), Total dissolved solids (TDS), pH, Temperature, Turbidity (by Turbidity Tube), Turbidity (by electronic turbidimeter)",502,μS / cm,0.41,6.8,29.3,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/c8021e9ee6dc4b5cb103b33c53de2ece
4/27/2019,Chikwawa,Livunzu CDSS,800,https://api.mwater.co/v3/images/890d55f6e9da4bae974e88ccd879e4eb; https://api.mwater.co/v3/images/4e5ff015ee5e45c0bb73212d994e41d5,-16.19249461,35.009024,21,No,No,Not functional,NA,Damage or problem with pump,NA,NA,NA,"Pump loose at the point of attachment, Missing pump head",https://api.mwater.co/v3/images/9f2ac621463c4ced8acb139177b748a0,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant friction (very stiff) at all times",NA,NA,Absent,"Electrical conductivity (EC), Total dissolved solids (TDS), pH, Temperature, Turbidity (by Turbidity Tube), Turbidity (by electronic turbidimeter)",849,μS / cm,0.4,7.2,31.2,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/930f01d615d944f3b50ccc31266c6325
4/27/2019,Chikwawa,Nyangu,1825,https://api.mwater.co/v3/images/3da959f8c1a44bdebac1d4436efa026b; https://api.mwater.co/v3/images/41fb77bd7ba0427298b6ee5bf32dc95a,-16.3321446,35.092568,25,No,Yes,Functional,Yes ,"Damage to civil works - platform, well head, riser etc",NA,Fence/barrier is missing or damaged,https://api.mwater.co/v3/images/c60d7fc87277479c8c8e0fee170eec9f,NA,NA,Significant sideways movement on handle (loose/wobbly),38.578,1,Absent,"Electrical conductivity (EC), pH, Temperature, Turbidity (by Turbidity Tube)",812,μS / cm,NA,6.8,28.3,5,JTU,NA,"The water is good, very minimal teste of salt.",E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/68cd49932e3e4cf984d89c76561911dc
4/27/2019,Chikwawa,Chafulumira,NA,https://api.mwater.co/v3/images/0cd31320096c43b8885f3819a5b5317e; https://api.mwater.co/v3/images/f7183606abf24f0b9ca32605dc2f91a8,-16.3035759,35.059712,24,No,No,Functional,Yes ,"Damage to civil works - platform, well head, riser etc",NA,Fence/barrier is missing or damaged,https://api.mwater.co/v3/images/4eedcdd12fdf453098ccf9e25559156a,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",50.955,1,Absent,"Electrical conductivity (EC), pH, Temperature, Turbidity (by Turbidity Tube)",615,mS / cm,NA,6.8,32.5,5,JTU,NA,The community says the water does not taste salty. ,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/dbb31d9f10de497cac21d6d662a5e3f1
4/27/2019,Chikwawa,Bodza,400,https://api.mwater.co/v3/images/872804f32f8040278bd8d62f60ffd08c; https://api.mwater.co/v3/images/f05e7b57c70f42e5ae0f31e1cb6919df; https://api.mwater.co/v3/images/294d9379e74b471899abf43f79b2bdfc,-16.2079017,35.018582,36,No,No,Partially functional but in need of repair,Yes ,"Damage to civil works - platform, well head, riser etc",NA,NA,https://api.mwater.co/v3/images/97ccb694445c4c329862efd29b38e53e,NA,NA,"Normal/satisfactory , Very light, Significant sideways movement on handle (loose/wobbly)",48.649,1,Absent,"Electrical conductivity (EC), pH, Temperature, Turbidity (by Turbidity Tube)",882,mS / cm,NA,7.2,28.9,5,JTU,NA,"Community says the water tastes good, moderately salty. ",E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/2053c45ddb9e42b28ece3e0a0e83e3e0
4/27/2019,Chikwawa,Mbiya camp,302,https://api.mwater.co/v3/images/f2ddfa9b75d6422bad232903ef83088e; https://api.mwater.co/v3/images/2aaf9b0812084544a43f40ed9d93e8c1,-16.5476426,34.893137,21,No,Yes,Not functional,NA,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,Very light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The borehole is not working as such no tests were done,NA,NA,NA,NA,NA,NA,NA,NA
4/27/2019,Chikwawa,Finishline camp,493,https://api.mwater.co/v3/images/44d39db457a24f1ea142a8a19baa764f; https://api.mwater.co/v3/images/e254f69ed4ab4464931dbfbe87cf9848,-16.2758175,34.864782,21,Yes,NA,Not functional,NA,Damage or problem with pump,NA,NA,NA,Other,https://api.mwater.co/v3/images/a32ef76cfe3842dda4dad56bf019b843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not done since the borehole is not working,NA,NA,NA,NA,NA,NA,NA,NA
4/28/2019,Chikwawa,Mthumba primary school,1423,https://api.mwater.co/v3/images/c1bd22baae0b4cedaf04826bc2b79e81,-16.0608467,34.762745,38,No,No,Partially functional but in need of repair,Yes ,"Damage to civil works - platform, well head, riser etc",NA,Fence/barrier is missing or damaged,https://api.mwater.co/v3/images/ad70e961e4db4bc2aaab735b8f0d347b,NA,NA,Significant friction (very stiff) on down stroke,64.881,1,Absent,"Electrical conductivity (EC), Temperature, pH, Turbidity (by Turbidity Tube)",1416,μS / cm,NA,7.5,29.8,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/a8752705a2a3458482748bffd2627df9
4/28/2019,Chikwawa,Patasani village,800,https://api.mwater.co/v3/images/75240e48a3f147e2a4e88af5a5a4268d; https://api.mwater.co/v3/images/4b8815c6b2dd4d5698827970b5d46509,-16.0712632,34.871331,27,No,No,NA,NA,"Water quality, No problems ",NA,NA,NA,NA,NA,Significant friction (very stiff) on down stroke,NA,NA,Absent,"Turbidity (by Turbidity Tube), pH, Electrical conductivity (EC), Temperature, Turbidity (by electronic turbidimeter), Settleable solids (by Imhoff cone), Microbiological or fecal indicator test",1065,μS / cm,NA,7.4,30.5,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/76db1d083b28470686263e74446a0069
