submitted_on,district,community,people_using,photo_water_point,latitude,longitude,depth,currently_submerged,likely_submerged,functional_status,water_pump_possible,problems_reported,water_quality_problems,civil_works_problems,photo_civil_works,pump_problems,photo_pump_problems,pump_operational_feel,time_to_pump_20l,strokes_to_yield,sediment_presence,water_quality_tests,electrical_conductivity,conductivity_units,total_dissolved_solids,ph,temperature_c,turbidity_tube,turbidity_tube_units,turbidity_electronic_ntu,comments,microbiological_test,test_method,sample_type,sample_date,color_change_mpn,color_change_upper95,color_change_health,color_change_image
4/5/2019,Nsanje,Sandram village,0,https://api.mwater.co/v3/images/06b48d45a7e447ba8f95d763f9820ea5; https://api.mwater.co/v3/images/26cc941b0cc248eeb53189bba709e7d2,-16.4650238,35.182799,48,No,Yes,Not functional,NA,"Soil erosion or collapse around the water point, Damage or problem with pump",NA,NA,NA,"Pump loose at the point of attachment, Damage to pump head or handle",https://api.mwater.co/v3/images/c8377d0c3efa43c188aab9fd89cc2fe1,Handle cannot be moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No water coming out of the borehole, it hasn't been functional for about a year",NA,NA,NA,NA,NA,NA,NA,NA
4/7/2019,Nsanje,Khope scho,358,https://api.mwater.co/v3/images/0ab79f294201470395abbe65e637f8bf; https://api.mwater.co/v3/images/a27544c1609f40fcb68ace6b53fc2c53,-16.64987201,35.192752,NA,No,No,Partially functional but in need of repair,Yes ,"Water quality, Damage to civil works - platform, well head, riser etc","Bad taste, Salinity / saltiness","Platform cracked or damaged , Pedestal cracked or damaged, Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/af75be3379634e9a8e9a644c9bb64330,NA,NA,"Significant friction (very stiff) on up stroke, Significant friction (very stiff) at all times, Can only be moved with extreme force, Significant sideways movement on handle (loose/wobbly)",204.214,5,Present,"Electrical conductivity (EC), pH, Temperature, Turbidity (by Turbidity Tube), Turbidity (by electronic turbidimeter), Microbiological or fecal indicator test",9.15,μS / cm,NA,7.8,35.7,5,JTU,NA,The bolehole is totally broken down when pumping water so many rickadges making water difficult to feel the 20 little backet,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/6/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/45608ae9ae8f47189ad3e3914541b2ee
4/7/2019,Nsanje,Khope school ,1065,https://api.mwater.co/v3/images/37e765754f3c4785a030a7339c5fa4a3; https://api.mwater.co/v3/images/2f1d237eb79e4dfc9f10e09ba5a13a91,-16.64930221,35.191956,38.7,No,No,Partially functional but in need of repair,Yes ,Water quality,"Bad taste, Salinity / saltiness",NA,NA,NA,NA,Very light,58.956,2,Absent,"Electrical conductivity (EC), pH, Temperature, Turbidity (by Turbidity Tube)",4.36,mS / cm,NA,7.6,33.5,5,JTU,NA,The person I talked to complained about salty water said they used the water just for washing ,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/5/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/68e2c5cada9b4d3186f4ebde835a5f2f
4/8/2019,Nsanje,Phokera camp,1568,https://api.mwater.co/v3/images/98708696ad6140b4bda7d1c5f48ce11f; https://api.mwater.co/v3/images/a83f26c740b44db996fb73f19ae5d78f; https://api.mwater.co/v3/images/69c911efff234e08929030728d5b6bf1,-16.6321896,35.158028,24,No,No,Functional,Yes ,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/c317e70a6eda46e1a0ca9323bc211b8f,NA,NA,Normal/satisfactory ,64.05,1,Present,"Turbidity (by Turbidity Tube), Electrical conductivity (EC), Temperature, pH",5.16,mS / cm,NA,7.8,31.4,5,JTU,NA,The borehole is in Gvh Mnembe and the borehole was constructed in 2014 by action aid.Its not gvh mlolo.,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/5/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/f693c11018fd4c63b4595b488847577b
4/8/2019,Nsanje,Chilimba camp,1210,https://api.mwater.co/v3/images/64abb6ec70124f56b29955e5baf78cbf,-16.6212318,35.148781,54,No,No,Functional,Yes ,"Damage to civil works - platform, well head, riser etc",NA,"Platform cracked or damaged , Faulty drainage , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/496203164da048ecb556cb295a4b487a,NA,NA,Normal/satisfactory ,67.141,1,Present,"Electrical conductivity (EC), Temperature, Turbidity (by Turbidity Tube), pH",1863,μS / cm,NA,7.8,34,5,JTU,NA,The water is not salty ,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/4/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/fb02beed1531440d909d0feb7cac2196
4/8/2019,Nsanje,Sandram camp,680,https://api.mwater.co/v3/images/09f63aae5b5e4c2581fa27dd53123770; https://api.mwater.co/v3/images/81a06cb568c1479db28e290bd4f323ca,-16.4642825,35.184281,42,No,No,Partially functional but in need of repair,Yes ,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,"Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged, Platform cracked or damaged ",https://api.mwater.co/v3/images/7af4f0112cd54999a30e2a0819fc0f5c,NA,NA,"Significant sideways movement on handle (loose/wobbly), Very light",82.1,5,Absent,"Electrical conductivity (EC), pH, Temperature, Turbidity (by Turbidity Tube)",1771,μS / cm,NA,7.5,29.8,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/c0d934f5db2b430692418c282dd771a7
4/8/2019,Nsanje,Chapinga Camp but borehole located in Fole village ,2600,https://api.mwater.co/v3/images/3db742f20c0b4e889d9dcc6799804ecc; https://api.mwater.co/v3/images/138d903a47f14db99ad2461b36b3cf43; https://api.mwater.co/v3/images/2894d3aec5654e0bb825e682c53587ed,-16.4281327,35.162682,30,No,No,Functional,Yes ,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,Normal/satisfactory ,51.211,1,Present,"Turbidity (by Turbidity Tube), Electrical conductivity (EC), Temperature, pH",1012,μS / cm,NA,7.3,30.3,5,JTU,NA,Water looks very clear but few dark particles could be seen in the water,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/4/2019,0,2.87,safe,https://api.mwater.co/v3/images/4ab35291b3534fbba4faefb66ef748b1
4/9/2019,Nsanje,Old lalanje camp,351,https://api.mwater.co/v3/images/d749c2c810af401a996bbe49e9977288,-16.50557582,35.051515,NA,No,No,Not functional,NA,"Water quality, Damage to civil works - platform, well head, riser etc, Damage or problem with pump","Bad taste, Bad colour, Salinity / saltiness","Platform cracked or damaged , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/9d0580df1aca4f3abd88747ac8081108,NA,https://api.mwater.co/v3/images/afd1e06ae8df4fc19170bb3fb9001cdf,Very light,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,The bolehole is no longer working as such no test were done at the site,NA,NA,NA,NA,NA,NA,NA,NA
4/9/2019,Nsanje,Old lalanje school ,NA,https://api.mwater.co/v3/images/63f31ba405a34a51b562a81d85f88753,-16.5071314,35.052895,NA,No,Yes,Partially functional but in need of repair,Yes ,"Water quality, Damage to civil works - platform, well head, riser etc, Damage or problem with pump",Bad taste,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged, Faulty drainage ",https://api.mwater.co/v3/images/3f53357b2a6b4192ab2b5d74e5860c6c,"Pump loose at the point of attachment, Damage to pump head or handle",https://api.mwater.co/v3/images/4dd387d433a54d3da05ec69d13d4baa2,Very light,59.43,1,Absent,"Electrical conductivity (EC), Total dissolved solids (TDS), pH, Temperature, Turbidity (by Turbidity Tube), Microbiological or fecal indicator test",4.96,mS / cm,NA,7.2,31.3,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/3/2019,NA,NA,NA,NA
4/9/2019,Nsanje,Ntolongo  2,250,https://api.mwater.co/v3/images/d386b434973c488dbffaa12e476d17b7,-16.6946965,35.232879,30,No,Yes,Partially functional but in need of repair,Yes ,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,"Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/ba1b9df5d4e44d579c93ee3b7f28d522,Damage to pump head or handle,https://api.mwater.co/v3/images/5a11502b0b36479aa0c3f86843bbbd6a,"Significant friction (very stiff) on up stroke, Significant friction (very stiff) on down stroke, Can only be moved with extreme force",85.16,3,Absent,"Electrical conductivity (EC), Temperature, Turbidity (by Turbidity Tube), pH, Turbidity (by electronic turbidimeter)",2423,μS / cm,NA,7.4,32.4,5,JTU,NA,NA,Thermotolerant coliform (or Fecal coliform),Aquagenx Compartment Bag Test (CBT),Point of collection,4/8/2019,0,2.87,safe,https://api.mwater.co/v3/images/7e8b30a440ac4b25a30e3e640c7224f3
4/9/2019,Nsanje,Bangula camp,2013,https://api.mwater.co/v3/images/7aa2ee7134ae4350ab03b371d10bd6a1; https://api.mwater.co/v3/images/444aaa8fe2a34b4d9981b66812a8d00b; https://api.mwater.co/v3/images/cbfad9a0290f49d18402f1f930cdaa44,-16.57941333,35.124279,21,No,No,Not functional,NA,It's not working ,NA,NA,NA,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The bole hole is not working,NA,Aquagenx Compartment Bag Test (CBT),NA,NA,NA,NA,NA,NA
4/10/2019,Nsanje,Tongo2 VILLAGE,750,https://api.mwater.co/v3/images/36a04c8d068544aa8c434ad873e223ff; https://api.mwater.co/v3/images/c182a66c613049aebc955c30d8dbc496,-16.69477686,35.232797,27,No,No,Partially functional but in need of repair,Yes ,"Damage or problem with pump, Soil erosion or collapse around the water point",NA,NA,NA,"Pump loose at the point of attachment, Damage to pump head or handle",https://api.mwater.co/v3/images/56bc0d95333449399f9361804ff0e80e,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) at all times",71.241,4,Absent,"Electrical conductivity (EC), pH, Temperature, Microbiological or fecal indicator test, Total dissolved solids (TDS), Turbidity (by Turbidity Tube)",2430,μS / cm,NA,7.4,31,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/9/2019,0,2.87,safe,https://api.mwater.co/v3/images/46d0c1d0c51e48669a6b010d602fc948
4/10/2019,Nsanje,Nyachilenda Camp,3479,https://api.mwater.co/v3/images/1e6ae7a95933421c94804dcc324cfe26; https://api.mwater.co/v3/images/7a768fa783544e5097d8699f86255b26,-17.09997,35.221626,24,Yes,NA,Functional,Yes ,"Damage to civil works - platform, well head, riser etc",NA,"Faulty drainage , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/05cb1bf897824e07b68035d28ce3ee8a,NA,NA,"Significant friction (very stiff) on down stroke, Significant sideways movement on handle (loose/wobbly)",73.433,1,Absent,"Electrical conductivity (EC), Temperature, Turbidity (by electronic turbidimeter), pH",816,μS / cm,NA,7.4,32.6,NA,NA,5,NA,E. coli,Aquagenx Compartment Bag Test (CBT),NA,4/9/2019,0,2.87,safe,https://api.mwater.co/v3/images/26c18db01629481db77bda6d3007fa79
4/10/2019,Nsanje,Ntolongo camp,1200,https://api.mwater.co/v3/images/7ca63a6780244e88b1e89af72b38c30d; https://api.mwater.co/v3/images/977a3103d7ab44609f2cab6f12dab187; https://api.mwater.co/v3/images/5995049d0f6c4fb09884736d8d44f6ea,-16.6986068,35.234936,36,No,Yes,Partially functional but in need of repair,Yes ,"Soil erosion or collapse around the water point, Damage to civil works - platform, well head, riser etc",NA,Fence/barrier is missing or damaged,https://api.mwater.co/v3/images/2531eea3debc42b299da160af052b5ba,NA,NA,"Significant sideways movement on handle (loose/wobbly), Significant friction (very stiff) at all times",86.54,5,Present,"Turbidity (by Turbidity Tube), Electrical conductivity (EC), Temperature, pH",2400,μS / cm,NA,7.4,31.4,5,JTU,NA,There is no washing basin ,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/8/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/47f89badc3134ffc8a7d4ff199dd4183
4/10/2019,Nsanje,Msambokulira  village ,850,https://api.mwater.co/v3/images/4b387fe7039745eab3e32d62f746a09b; https://api.mwater.co/v3/images/9ab0083a165e49768369ec82e165b7ca; https://api.mwater.co/v3/images/8efee1c44bbf4b498e6010b58bbe3994,-16.4406407,35.153162,24,No,Yes,Partially functional but in need of repair,Yes ,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,"Significant sideways movement on handle (loose/wobbly), Significant friction (very stiff) on up stroke, Significant friction (very stiff) on down stroke",69.93,3,Absent,"Electrical conductivity (EC), Temperature, pH, Turbidity (by electronic turbidimeter), Turbidity (by Turbidity Tube), Microbiological or fecal indicator test",446,μS / cm,NA,7.4,32.2,5,JTU,NA,It takes 8 to 10 strokes for water to start coming out in the morning.,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/9/2019,3.4,12.53,possibly_safe,https://api.mwater.co/v3/images/76e10d9da4fb487fad5763aaf10c4413
4/10/2019,Nsanje,Msambokulira village ,360,https://api.mwater.co/v3/images/eaaeb686a6584319870835bff8498961,-16.4363301,35.153164,15,No,Yes,Partially functional but in need of repair,Yes ,"Water quality, Damage to civil works - platform, well head, riser etc, Damage or problem with pump, Soil erosion or collapse around the water point",Salinity / saltiness,"Faulty drainage , Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/9619325ec6354d26b3a98b3b62d855c3,Pump loose at the point of attachment,NA,"Significant sideways movement on handle (loose/wobbly), Significant friction (very stiff) on down stroke",59.24,3,Present,"Electrical conductivity (EC), Temperature, pH, Turbidity (by electronic turbidimeter), Turbidity (by Turbidity Tube), Microbiological or fecal indicator test",1663,μS / cm,NA,7.2,34.2,5,JTU,NA,NA,Thermotolerant coliform (or Fecal coliform),Aquagenx Compartment Bag Test (CBT),Point of collection,4/9/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/b92c0f6892104e89ae2f2eabf28c8384
4/10/2019,Nsanje,Nyamithuthu camp,974,https://api.mwater.co/v3/images/faa8fb2432c34d55a348068b206a410a; https://api.mwater.co/v3/images/d9f7f0066a394288926442a2d396263c,-16.6576886,35.207969,45,No,No,Functional,Yes ,No problems ,NA,NA,NA,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",70.84,1,Present,"pH, Turbidity (by Turbidity Tube), Electrical conductivity (EC), Temperature",3.13,mS / cm,NA,7.8,34.1,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),NA,4/9/2019,0,2.87,safe,https://api.mwater.co/v3/images/ad38f59f91744487b338792d09cfdf49
4/10/2019,Nsanje,Nyamithuthu camp,794,https://api.mwater.co/v3/images/fbb7f01608d945a68e7efa2763884a5e; https://api.mwater.co/v3/images/6552c1633bc2417d876fc3213e77f20e; https://api.mwater.co/v3/images/b7583287a4254a749a287d79e451b921,-16.65999,35.207191,27,No,No,Not functional,NA,"Damage or problem with pump, Damage to civil works - platform, well head, riser etc",NA,"Platform cracked or damaged , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/354ce8217fb94e94b41f760522a96104,"Pump loose at the point of attachment, Other",https://api.mwater.co/v3/images/9764f6264f1640cc9da0d3a7fa8dcf45,"Very light, Significant sideways movement on handle (loose/wobbly)",NA,NA,Present,"Turbidity (by Turbidity Tube), Electrical conductivity (EC), Temperature",2240,μS / cm,NA,NA,35.4,5,JTU,NA,Time taken to fill 20litres of water is 4 minutes 30seconds  and 6 strokes for water to come out,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/9/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/fda66f9040ad4018940bbcd74d49ec16
4/10/2019,Nsanje,Nyamithuthu camp,720,https://api.mwater.co/v3/images/babab2e33a1e495f90d52f3aa98110af; https://api.mwater.co/v3/images/88c91637620e43a3bbdf9611228ea617; https://api.mwater.co/v3/images/ac072400fee84a0c8f257e7fb7148211,-16.6578962,35.206344,25.5,No,No,Functional,Yes ,Water quality,Salinity / saltiness,NA,NA,NA,NA,Significant sideways movement on handle (loose/wobbly),102.089,1,Absent,"pH, Turbidity (by Turbidity Tube), Electrical conductivity (EC), Temperature",5.31,mS / cm,NA,7.4,31.9,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),NA,4/9/2019,0,2.87,safe,https://api.mwater.co/v3/images/1cbf74d900cf484b8eccab2353a4e837
4/10/2019,Nsanje,Kachere camp,232,https://api.mwater.co/v3/images/be8644b67a1b424ba320a27f8b653faa; https://api.mwater.co/v3/images/9269c68f520f434f95567f97fe80e9e9; https://api.mwater.co/v3/images/2220cf78f996400ea153e27e56529c6e,-16.6723658,35.223041,27,No,No,Functional,Yes ,"Soil erosion or collapse around the water point, Damage to civil works - platform, well head, riser etc",NA,"Platform cracked or damaged , Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/4093ef206dd8434c9c522a8bb5cf4e10,NA,NA,"Significant sideways movement on handle (loose/wobbly), Significant friction (very stiff) on down stroke",53.691,1,Present,"Electrical conductivity (EC), Temperature, pH, Turbidity (by Turbidity Tube)",4.45,mS / cm,NA,7.6,31.4,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/9/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/d4d062b4c918422aa49b1ca7087e8b97
4/11/2019,Nsanje,Bangula camp,6012,https://api.mwater.co/v3/images/1b13a9072c1241c2a444d45d79ee5f38; https://api.mwater.co/v3/images/a5ce7f55e23442918eb59af8527cab41; https://api.mwater.co/v3/images/d665bafe461e4ad9801f8d9a3b15ee2f,-16.57822894,35.117238,NA,No,No,Partially functional but in need of repair,Yes ,"No problems , Water quality","Bad taste, Salinity / saltiness",NA,NA,NA,NA,Very light,64.025,2,Absent,"Electrical conductivity (EC), Total dissolved solids (TDS), pH, Temperature, Microbiological or fecal indicator test, Turbidity (by Turbidity Tube), Turbidity (by electronic turbidimeter), Settleable solids (by Imhoff cone)",900,μS / cm,NA,7.6,30.1,5,JTU,NA,The bolehole is partly functioning ,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/4/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/4d57a954fbb44a20bed39df8d67ea381
4/11/2019,Nsanje,Phokera camp,5002,https://api.mwater.co/v3/images/a71a42150d904374baa9a509c43c9754; https://api.mwater.co/v3/images/40c999ac2515470c86edfdc2c3a43315; https://api.mwater.co/v3/images/59abb50037e141d5a3eb4f7d9357f1f3,-16.6297813,35.158219,27,Yes,NA,Functional,Yes ,No problems ,NA,NA,NA,NA,NA,Significant sideways movement on handle (loose/wobbly),44.46,1,Present,"Electrical conductivity (EC), Temperature, Turbidity (by electronic turbidimeter), pH",1961,μS / cm,NA,7.6,31.9,NA,NA,5,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/4a75738412684440b5764721b292bdf7
4/11/2019,Nsanje,Madani Village near catholic Church,600,https://api.mwater.co/v3/images/fc8b130c04054a429bac3c799b25c352; https://api.mwater.co/v3/images/951cab60efa343a48100cf1b97fb91d4; https://api.mwater.co/v3/images/5686504c33f0490db7d428c4f95918e6; https://api.mwater.co/v3/images/d94b631c7b5e4d6cbd72b373f9df9b22; https://api.mwater.co/v3/images/d1397bf8b69c4a3385fa4e9deb826c1b,-17.1256597,35.226369,21,No,No,Partially functional but in need of repair,Yes ,Water quality,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant sideways movement on handle (loose/wobbly)",60.721,4,Absent,"Turbidity (by Turbidity Tube), pH, Electrical conductivity (EC), Temperature, Turbidity (by electronic turbidimeter)",1650,μS / cm,NA,7.2,32,5,JTU,NA,NA,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/9/2019,0,2.87,safe,https://api.mwater.co/v3/images/f6c14930e1534705831aca953ca34198
4/11/2019,Nsanje,Mpatsa camp near mpatsa primary school,4750,https://api.mwater.co/v3/images/99971162fd784167b543547926021c26; https://api.mwater.co/v3/images/a68c2653a9924e85a4f0e958e4297304,-16.72802475,35.272975,18,No,No,Partially functional but in need of repair,Yes ,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant sideways movement on handle (loose/wobbly)",92.963,5,Present,"Electrical conductivity (EC), pH, Temperature, Microbiological or fecal indicator test, Total dissolved solids (TDS), Turbidity (by Turbidity Tube)",2230,μS / cm,1.16,7.6,30.1,5,JTU,NA,Good,Hydrogen sulfide (H2S),Presence/Absence in 20 mL (e.g. H2S test),NA,NA,NA,NA,NA,NA
4/11/2019,Nsanje,chikunkhu 1 near school ,2500,https://api.mwater.co/v3/images/755792f7d26e4e659c7c817261ba6357,-16.73014897,35.272834,24,No,No,Not functional,NA,"Damage or problem with pump, Soil erosion or collapse around the water point",NA,NA,NA,"Damage to pump head or handle, Other",https://api.mwater.co/v3/images/6993c460675a472eb9d5ea1e47a4c947,NA,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,pump non functional,NA,Presence/Absence in 20 mL (e.g. H2S test),NA,NA,NA,NA,NA,NA
4/11/2019,Nsanje,Katunga village,315,https://api.mwater.co/v3/images/69bc47269d1947acb8c2c70570c03104; https://api.mwater.co/v3/images/869d813f6dc344fd8760c1b1a3a7365a,-16.71203034,35.265336,27,Yes,NA,Partially functional but in need of repair,Yes ,"Soil erosion or collapse around the water point, Damage to civil works - platform, well head, riser etc",NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/9d4e599bcb0446849b4e3cea2c4d1ecf,NA,NA,Significant friction (very stiff) on down stroke,58.041,5,Absent,"Electrical conductivity (EC), Total dissolved solids (TDS), pH, Temperature, Turbidity (by Turbidity Tube), Turbidity (by electronic turbidimeter)",2973,μS / cm,1.58,7.8,33.2,5,JTU,NA,Good,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/10/2019,0,2.87,safe,https://api.mwater.co/v3/images/fbe3c30c2069494381e8b1635cfec7f4
4/11/2019,Nsanje,Guta village,650,https://api.mwater.co/v3/images/9b11776b7c2644909ba3d91794e9de15; https://api.mwater.co/v3/images/f3946a4ede5a4f7e9b9ca9cd35d56a56,-16.70788895,35.262365,24,No,No,Partially functional but in need of repair,Yes ,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,"Platform cracked or damaged , Pedestal cracked or damaged",https://api.mwater.co/v3/images/f46a2e9f6cef415d86580ceae1742624,NA,NA,Significant friction (very stiff) on down stroke,74.351,5,Absent,"Electrical conductivity (EC), Total dissolved solids (TDS), pH, Temperature, Turbidity (by Turbidity Tube), Turbidity (by electronic turbidimeter)",2094,μS / cm,1.09,7.6,33.9,5,JTU,NA,Good,Thermotolerant coliform (or Fecal coliform),Aquagenx Compartment Bag Test (CBT),Point of collection,4/10/2019,0,2.87,safe,https://api.mwater.co/v3/images/480b8cb937624cecb59f322a2c33c885
4/11/2019,Nsanje,Ngoza camp near mpas village1,1110,https://api.mwater.co/v3/images/360d29da786347fb9e35ef32f1327db3; https://api.mwater.co/v3/images/f61185f746894b35bd5ba00c28fbb667,-16.71382787,35.249318,36,Yes,NA,Partially functional but in need of repair,Yes ,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,"Platform cracked or damaged , Pedestal cracked or damaged, Faulty drainage ",https://api.mwater.co/v3/images/35295f253de14d6daeac018f535b76ff,NA,NA,"Very light, Significant friction (very stiff) at all times",72.22,10,Present,"Electrical conductivity (EC), Total dissolved solids (TDS), pH, Temperature, Turbidity (by Turbidity Tube), Turbidity (by electronic turbidimeter)",1460,μS / cm,0.7,7.4,31.7,5,JTU,NA,Good,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/10/2019,0,2.87,safe,https://api.mwater.co/v3/images/394c21f5dc5f48d3bcb9722b6863a7e1
4/11/2019,Nsanje,Mgoza primary school,4350,https://api.mwater.co/v3/images/a46cf1f271374914a3b9f3624744d2b5,-16.70630255,35.254445,30,Yes,NA,Partially functional but in need of repair,Yes ,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,"Platform cracked or damaged , Faulty drainage ",https://api.mwater.co/v3/images/bb40a6a440a74fb0be25355e7408e3fe,"Pump loose at the point of attachment, Damage to pump head or handle",https://api.mwater.co/v3/images/35e5f1ceddf64777ad52eb2b5a5e8358,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant sideways movement on handle (loose/wobbly)",76.691,10,Absent,"Electrical conductivity (EC), Total dissolved solids (TDS), pH, Temperature, Turbidity (by Turbidity Tube), Turbidity (by electronic turbidimeter)",2172,μS / cm,1.12,7.8,31.9,5,JTU,NA,Good,E. coli,Aquagenx Compartment Bag Test (CBT),Point of collection,4/10/2019,2.6,8.51,probably_safe,https://api.mwater.co/v3/images/c48402d98299424cbf15598264c0cc62
4/12/2019,Nsanje,Kachere camp,265,https://api.mwater.co/v3/images/88a241c33dad45c5b66af3bebfc0f8c8; https://api.mwater.co/v3/images/6a3810dd1e5c4729b80a9cc2059619db,-16.6720721,35.226654,27,No,No,Functional,Yes ,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump, Soil erosion or collapse around the water point",NA,"Platform cracked or damaged , Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/53cbb7a4175a4447837278053b948d28,"Damage to pump head or handle, Pump loose at the point of attachment",https://api.mwater.co/v3/images/b440a04ccb4f442d90d2f25afa02e042,"Significant friction (very stiff) on down stroke, Significant sideways movement on handle (loose/wobbly), Can only be moved with extreme force",49.93,1,Present,"Electrical conductivity (EC), Temperature, pH, Turbidity (by Turbidity Tube)",3.26,mS / cm,NA,7.8,36.6,5,JTU,NA,The boreholes handles is in bad shape,E. coli,Presence/Absence in 20 mL (e.g. H2S test),NA,NA,NA,NA,NA,NA
4/12/2019,Balaka,Mthunzi,250,https://api.mwater.co/v3/images/4722eb87b30d4631b9880ab7cc769542,-13.6324488,33.753752,40,No,No,Not functional,NA,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/17d4a803ce8147d0ae77bcd0ab25a6f6,NA,https://api.mwater.co/v3/images/9f1d79a676b44c2baecd4aa327b7bace,Could not observe,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,The water is good and also the quality itself,E. coli,Presence/Absence in 20 mL (e.g. H2S test),NA,NA,NA,NA,NA,NA
4/12/2019,Balaka,Mthunzi,250,https://api.mwater.co/v3/images/f93d829cf2b84830b11d726b308507d9; https://api.mwater.co/v3/images/34f88b9d43be4ce09d29f15aa099e47f,-13.6324648,33.753756,40,No,No,Not functional,NA,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/1dfbbdfa6b164979b7e546e69667bcd2,NA,NA,NA,NA,NA,Absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,Madzi ndi bwino komaso sipatulusa michenga,E. coli,Presence/Absence in 20 mL (e.g. H2S test),NA,NA,NA,NA,NA,NA
